dataset,embedder,style,inclusion_k,n_cells,d_mean,d_se,d_lo,d_hi,a_mean,b_mean,contrast,arm_b,harmed,sig_better,sig_worse
caltech101_m,siglip,whole_image,1.0,24,0.0,0.0,0.0,0.0,0.029588412916666668,0.029588412916666668,recut,hinge,False,False,False
caltech101_m,siglip,whole_image,2.0,24,0.0,0.0,0.0,0.0,0.014794587552083334,0.014794587552083334,recut,hinge,False,False,False
caltech101_m,siglip,whole_image,3.0,24,0.0,0.0,0.0,0.0,0.007398818151041667,0.007398818151041667,recut,hinge,False,False,False
caltech101_m,siglip,whole_image,4.0,24,0.0,0.0,0.0,0.0,0.00370090171875,0.00370090171875,recut,hinge,False,False,False
caltech101_m,siglip,whole_image,5.0,24,0.0,0.0,0.0,0.0,0.0018524516276041665,0.0018524516276041665,recut,hinge,False,False,False
caltech101_m,siglip,whole_image,6.0,24,0.0,0.0,0.0,0.0,0.0009263528450520832,0.0009263528450520832,recut,hinge,False,False,False
caltech101_m,siglip,whole_image,7.0,24,0.0,0.0,0.0,0.0,0.00046320421061197913,0.00046320421061197913,recut,hinge,False,False,False
caltech101_m,siglip,whole_image,8.0,24,0.0,0.0,0.0,0.0,0.0002316259236653646,0.0002316259236653646,recut,hinge,False,False,False
caltech101_m,siglip,whole_image,9.0,24,0.0,0.0,0.0,0.0,0.00011582387858072916,0.00011582387858072916,recut,hinge,False,False,False
caltech101_m,siglip,whole_image,10.0,24,0.0,0.0,0.0,0.0,5.7916405232747395e-05,5.7916405232747395e-05,recut,hinge,False,False,False
coco_val,siglip,whole_image,-10.0,76,-0.004702814724763569,0.000748056585491014,-0.006200147705206621,-0.0032533933823531308,0.017541184119102077,0.012838369394338509,recut,hinge,False,True,False
coco_val,siglip,whole_image,-9.0,76,-0.005139165692588404,0.0007782012542409276,-0.006717789198316071,-0.0037001576583605314,0.018733859387335527,0.013594693694747119,recut,hinge,False,True,False
coco_val,siglip,whole_image,-8.0,76,-0.005785291645764803,0.0008396720150962239,-0.007520436381591797,-0.004198424592111688,0.02029333227436267,0.014508040628597863,recut,hinge,False,True,False
coco_val,siglip,whole_image,-7.0,76,-0.00669624951274671,0.0009049366309944788,-0.008620040341963918,-0.004996400611687912,0.022328622623869244,0.01563237311112253,recut,hinge,False,True,False
coco_val,siglip,whole_image,-6.0,76,-0.008005792255345394,0.0010182123224222344,-0.010147696738461144,-0.0060626011478721225,0.024982584679276314,0.01697679242393092,recut,hinge,False,True,False
coco_val,siglip,whole_image,-5.0,76,-0.009931312354029605,0.0011821935328468198,-0.012240065546926398,-0.007678871666581004,0.028410123659539474,0.01847881130550987,recut,hinge,False,True,False
coco_val,siglip,whole_image,-4.0,76,-0.013524035119243421,0.0017497567839673577,-0.017121345231496714,-0.010283089481291115,0.03355747174342105,0.02003343662417764,recut,hinge,False,True,False
coco_val,siglip,whole_image,-3.0,76,-0.017727577006578947,0.0021653754323956507,-0.02214694129749178,-0.013785460637952305,0.03850186960526316,0.020774292598684213,recut,hinge,False,True,False
coco_val,siglip,whole_image,-2.0,76,-0.02130317083881579,0.002311556143991891,-0.026166775936677635,-0.017044268835115135,0.042507514934210525,0.02120434409539474,recut,hinge,False,True,False
coco_val,siglip,whole_image,-1.0,76,-0.02544750523026316,0.002770405103896631,-0.03094493165624999,-0.020312396500000003,0.04788806388157895,0.02244055865131579,recut,hinge,False,True,False
