geometry,mode,t,median,q25,q75,n_blocks
dinov3_patch/whole_image,binary,82,0.06108433148936504,0.04765824963424485,0.07324566556107065,25
dinov3_patch/whole_image,binary,83,0.06066983673266659,0.04429620495744052,0.07901427472783504,25
dinov3_patch/whole_image,binary,84,0.06127453711983469,0.04682198879055258,0.07361305380081429,25
dinov3_patch/whole_image,binary,85,0.06120016300156742,0.0442886792571729,0.0786796861380804,25
dinov3_patch/whole_image,binary,86,0.05628257219300241,0.04194955045148373,0.07560724432249931,25
dinov3_patch/whole_image,binary,87,0.05398046329669944,0.04178489768334841,0.0706248888604808,25
dinov3_patch/whole_image,binary,88,0.052085527389699716,0.042275484848631154,0.07217009673562139,25
dinov3_patch/whole_image,binary,89,0.05260288140707042,0.040604699518781394,0.07276403845234772,25
dinov3_patch/whole_image,binary,90,0.04882974877682553,0.04031496750688978,0.07253423339006355,25
dinov3_patch/whole_image,binary,91,0.054932622309804016,0.04043499762269522,0.0665659070625734,25
dinov3_patch/whole_image,binary,92,0.051353786491127575,0.037660606756823575,0.0643998499183238,25
dinov3_patch/whole_image,binary,93,0.04553528288547822,0.03675472606618093,0.06780382484786533,25
dinov3_patch/whole_image,binary,94,0.044901094721709126,0.03919809430447648,0.0666063079685993,25
dinov3_patch/whole_image,binary,95,0.04701067652073136,0.035587944423675716,0.06350298687088414,25
dinov3_patch/whole_image,binary,96,0.04491400443944898,0.03980163125670525,0.05977363454417886,25
dinov3_patch/whole_image,binary,97,0.049948490903155736,0.037141300940285366,0.05978479784676827,25
dinov3_patch/whole_image,binary,98,0.04649844660099156,0.03585626121830417,0.05782902382978001,25
dinov3_patch/whole_image,binary,99,0.04766418833980188,0.03794290137822052,0.0573975329417563,25
dinov3_patch/whole_image,binary,100,0.04703893333074993,0.037524606889872594,0.058622372585068847,25
dinov3_patch/whole_image,binary,101,0.04630481826978019,0.03719556749947357,0.05752281626027327,25
dinov3_patch/whole_image,binary,102,0.046172837379613245,0.03575905754891818,0.05791627609837007,25
dinov3_patch/whole_image,binary,103,0.04404090132676311,0.03478892434094507,0.05547914178677756,25
dinov3_patch/whole_image,binary,104,0.047129072398071147,0.03699586557736446,0.05659173289643155,25
dinov3_patch/whole_image,binary,105,0.044523740581969604,0.034950833918972204,0.05579270179576404,25
dinov3_patch/whole_image,binary,106,0.04237014301837282,0.0343651533427931,0.05620775742946875,25
dinov3_patch/whole_image,binary,107,0.041837670176748866,0.03446176334260304,0.049266174346363815,25
dinov3_patch/whole_image,binary,108,0.041992323951558476,0.03499378714974387,0.05664981927250867,25
dinov3_patch/whole_image,binary,109,0.04077832912541325,0.03291016699473056,0.056544943391960346,25
dinov3_patch/whole_image,binary,110,0.04092792749327453,0.03286769137566236,0.05678732692164039,25
dinov3_patch/whole_image,binary,111,0.04132376217380708,0.033731132170483555,0.05921050480400194,25
dinov3_patch/whole_image,binary,112,0.041052823248000615,0.032064425695900046,0.05138901182146669,25
dinov3_patch/whole_image,binary,113,0.040059364162387014,0.034331847681432076,0.05139665653317804,25
dinov3_patch/whole_image,binary,114,0.03914026453720139,0.03210380160977824,0.04807802078135738,25
dinov3_patch/whole_image,binary,115,0.041071510513275566,0.036675557864626666,0.05116490866175556,25
