tier,class_id,source,method,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
m,tobacco800/logo_ald41a00-ernest_1,tobacco800,vlad_t41000_sift,45,46659,0.26666666666666666,0.2738086638885873,1,0.2222222222222222,0.26666666666666666,0.26666666666666666
m,tobacco800/logo_asg54f00_1,tobacco800,sift,5,46659,,0.34313655336911153,2,0.6,0.6,0.8
m,tobacco800/logo_asg54f00_1,tobacco800,vlad_t4,5,46659,,1.0,1,1.0,1.0,1.0
m,tobacco800/logo_asg54f00_1,tobacco800,vlad_t4100_sift,5,46659,1.0,0.8444444444444444,1,1.0,1.0,1.0
m,tobacco800/logo_asg54f00_1,tobacco800,vlad_t4500_sift,5,46659,1.0,0.7555555555555556,1,0.8,1.0,1.0
m,tobacco800/logo_asg54f00_1,tobacco800,vlad_t41000_sift,5,46659,1.0,0.716205533596838,1,0.6,1.0,1.0
m,tobacco800/logo_azb11c00_1,tobacco800,sift,23,46659,,0.6778103096751171,2,0.34782608695652173,0.9130434782608695,0.9130434782608695
m,tobacco800/logo_azb11c00_1,tobacco800,vlad_t4,23,46659,,0.030858970329927547,14,0.0,0.08695652173913043,0.17391304347826086
m,tobacco800/logo_azb11c00_1,tobacco800,vlad_t4100_sift,23,46659,0.17391304347826086,0.15364523368222857,1,0.17391304347826086,0.17391304347826086,0.17391304347826086
m,tobacco800/logo_azb11c00_1,tobacco800,vlad_t4500_sift,23,46659,0.5217391304347826,0.37381372038046434,2,0.30434782608695654,0.5217391304347826,0.5217391304347826
m,tobacco800/logo_azb11c00_1,tobacco800,vlad_t41000_sift,23,46659,0.6521739130434783,0.4815627576895178,2,0.34782608695652173,0.6521739130434783,0.6521739130434783
m,tobacco800/logo_bqz95d00_1,tobacco800,sift,8,46659,,0.9704861111111112,1,1.0,1.0,1.0
m,tobacco800/logo_bqz95d00_1,tobacco800,vlad_t4,8,46659,,0.10155521003096069,7,0.25,0.5,0.625
m,tobacco800/logo_bqz95d00_1,tobacco800,vlad_t4100_sift,8,46659,0.625,0.6389576946990703,1,0.625,0.625,0.625
m,tobacco800/logo_bqz95d00_1,tobacco800,vlad_t4500_sift,8,46659,1.0,1.0,1,1.0,1.0,1.0
m,tobacco800/logo_bqz95d00_1,tobacco800,vlad_t41000_sift,8,46659,1.0,1.0,1,1.0,1.0,1.0
m,tobacco800/logo_cgr96c00_1,tobacco800,sift,7,46659,,0.8192542839920778,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
m,tobacco800/logo_cgr96c00_1,tobacco800,vlad_t4,7,46659,,0.0006068952887795129,1670,0.0,0.0,0.0
m,tobacco800/logo_cgr96c00_1,tobacco800,vlad_t4100_sift,7,46659,0.0,0.0006068952887795129,1670,0.0,0.0,0.0
m,tobacco800/logo_cgr96c00_1,tobacco800,vlad_t4500_sift,7,46659,0.0,0.0006068952887795129,1670,0.0,0.0,0.0
m,tobacco800/logo_cgr96c00_1,tobacco800,vlad_t41000_sift,7,46659,0.0,0.0006068952887795129,1670,0.0,0.0,0.0
m,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,sift,21,46659,,0.9136316252967744,1,0.47619047619047616,0.9523809523809523,0.9523809523809523
m,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,vlad_t4,21,46659,,0.03632109030725847,35,0.0,0.09523809523809523,0.3333333333333333
m,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,vlad_t4100_sift,21,46659,0.3333333333333333,0.35170955898098955,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
m,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,vlad_t4500_sift,21,46659,0.5714285714285714,0.5780316540816474,1,0.47619047619047616,0.5714285714285714,0.5714285714285714
m,tobacco800/logo_ciy01a00-page02_1_0,tobacco800,vlad_t41000_sift,21,46659,0.7142857142857143,0.671750038775381,1,0.47619047619047616,0.6666666666666666,0.6666666666666666
