dataset,embedder,seed,trust_k10,trust_k50,cont_k10,shepard,purity_embedding,purity_layout,containment_core,containment_unit,noise,purity_drop
caltech101_m,siglip,1,0.9901332598240128,0.9084753550608397,0.9913017678507954,0.2770907432321561,0.9917661097852029,0.997494033412888,0.8833189440347723,0.8706956375684617,0.0274463007159904,-0.00572792362768515
caltech101_m,siglip,2,0.9897965194303996,0.8873505536210337,0.9910575911672748,0.2267899488486313,0.9917661097852029,0.9982100238663484,0.8831781853259585,0.8569086998475072,0.0417661097852028,-0.00644391408114553
coco_val,siglip,0,0.9588501256491876,0.9325138314241752,0.9594828949572792,0.1866279996833383,0.9190666666666666,0.9095,0.8926796131815482,0.8322067361293827,0.0303333333333333,0.009566666666666612
coco_val,siglip,1,0.959764081085609,0.9314064466860432,0.9562567487574692,0.2048540720649576,0.9155666666666666,0.9203333333333332,0.8951358776108065,0.7816166799974208,0.057,-0.004766666666666586
coco_val,siglip,2,0.9612594069358352,0.9393082145096028,0.960736706315966,0.222967432034752,0.918,0.9163333333333332,0.8952140929958233,0.7388870648240098,0.1843333333333333,0.0016666666666668162
vg_box_large,siglip,0,0.9618227843859944,0.9395065618054368,0.9660569051209024,0.3474679971637099,0.5245666666666667,0.4942,0.8943151277823868,0.7611971251441529,0.119,0.030366666666666764
vg_box_large,siglip,1,0.9597844306695704,0.938714223513991,0.9638412576087564,0.3251166303167644,0.5393,0.4982666666666667,0.8957451641665014,0.7741475997333807,0.16,0.04103333333333331
vg_box_large,siglip,2,0.9629749930194896,0.9426695685872228,0.9653384486513654,0.3244928909858286,0.5321,0.4957,0.8973310827778238,0.7571570570161229,0.1206666666666666,0.03640000000000004
vg_scale_any,siglip,0,0.959888390015078,0.9348180087764292,0.9614444853967722,0.2898118162106654,0.3416239941477688,0.3275786393562545,0.8947669176700906,0.6780274720569442,0.309,0.014045354791514308
vg_scale_any,siglip,1,0.9556220025688278,0.9307855610645694,0.95943987267549,0.288600280677307,0.3531504818383988,0.3303928836174944,0.8965687197239685,0.8142673942696044,0.062,0.022757598220904396
vg_scale_any,siglip,2,0.9575427933210476,0.9305269960677038,0.9591426369576144,0.3005092035919949,0.3678815489749431,0.3557327258921792,0.8952781744825875,0.6971180997527924,0.2933333333333333,0.012148823082763882
visual_genome_m,siglip,0,0.9455311665829006,0.9139870177238274,0.9512100854414476,0.4170915958804327,0.8562666666666667,0.8284333333333334,0.8943526738270104,0.6160563181499923,0.2703333333333333,0.027833333333333377
visual_genome_m,siglip,1,0.943111408946222,0.9094469276799452,0.9509295359356676,0.4537493291671363,0.8595666666666666,0.8345,0.8947445014726875,0.6924853953295985,0.183,0.02506666666666657
visual_genome_m,siglip,2,0.94622701736751,0.9106554533538496,0.9498331490478584,0.4064556520447863,0.8567666666666667,0.8388333333333333,0.8932302313593896,0.7043728128746124,0.1346666666666666,0.017933333333333357
caltech101_m,siglip2_l,0,0.9910676019760466,0.8908293751711726,0.9922748474802504,0.3349835439629602,0.9914081145584726,0.997016706443914,0.8847997955419845,0.8582879755350814,0.0274463007159904,-0.005608591885441494
