mode,schedule,mean,se,n,ci_hi,question
region,pure_xcal,0.005557810781489493,0.00017880705557727,288,0.005908272610420942,q1d
region,rare:lo=0:hi=16,0.004982735203665541,0.00017656871925462428,288,0.005328809893404605,q1d
region,rare:lo=0:hi=32,0.0022387583640423848,0.0001318799631350908,288,0.0024972430917871626,q1d
region,rare:lo=0:hi=4,0.005557810781489493,0.00017880705557727,288,0.005908272610420942,q1d
region,rare:lo=0:hi=64,0.0005797882701107472,8.414814501085728e-05,288,0.0007447186343320275,q1d
region,rare:lo=0:hi=8,0.005557810781489493,0.00017880705557727,288,0.005908272610420942,q1d
region,rare:lo=1:hi=16,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=16:cap=0.5,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=16:cap=0.8,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=32,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=32:cap=0.5,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=32:cap=0.8,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=4,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=4:cap=0.5,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=64,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=8,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=8:cap=0.5,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=1:hi=8:cap=0.8,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=2:hi=16,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=2:hi=32,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=2:hi=4,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=2:hi=64,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=2:hi=8,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=4:hi=16,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=4:hi=32,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=4:hi=64,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,rare:lo=4:hi=8,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
region,slow_cap50,0.0,0.0,288,0.0,q1d
binary,cap50,0.0,0.0,384,0.0,q1c
binary,cap80,0.0,0.0,384,0.0,q1c
binary,corridor,-0.08137927300347222,0.008333114054437861,384,-0.06504636945677401,q1c
