env,mode,schedule,family,mean,se,n,improved,resolvable,weighting,question
visual_genome_m / region,region,corridor:w=0.1,corridor,-0.015869561550209067,0.00317381190587219,136,0.6323529411764706,True,1:1,q2
visual_genome_m / region,region,corridor:w=0.2,corridor,-0.014990170578887848,0.0034140555915150215,136,0.6176470588235294,True,1:1,q2
visual_genome_m / region,region,corridor:w=0.3,corridor,-0.013264676564936734,0.003603956559123231,136,0.6102941176470589,True,1:1,q2
visual_genome_m / region,region,corridor:w=0.5,corridor,-0.00944643783146127,0.0038793431525852747,136,0.5073529411764706,True,1:1,q2
visual_genome_m / region,region,corridor:w=0.75,corridor,-0.0047467969166642195,0.004141283987741808,136,0.4411764705882353,False,1:1,q2
visual_genome_m / region,region,corridor_ramp,corridor,-0.0035042404064780817,0.004303581484611735,136,0.4852941176470588,False,1:1,q2
visual_genome_m / region,region,corridor_ramp:w=0.2,corridor,-0.015144599587743416,0.0033981123001970022,136,0.6323529411764706,True,1:1,q2
visual_genome_m / region,region,corridor_ramp:w=0.5,corridor,-0.010507376830755684,0.0038470133847303273,136,0.5588235294117647,True,1:1,q2
visual_genome_m / region,region,prod,reference,0.00298116367810696,0.004794649556332528,136,0.4411764705882353,False,1:1,q2
visual_genome_m / region,region,pure_gmm,reference,-0.015075137377359119,0.003047339182366693,136,0.6323529411764706,True,1:1,q2
visual_genome_m / region,region,pure_xcal,reference,0.01515655824764448,0.004953843576337727,136,0.3014705882352941,True,1:1,q2
visual_genome_m / region,region,rare:lo=0:hi=16,rare,-0.0035037800298874672,0.00429756046747783,136,0.4632352941176471,False,1:1,q2
visual_genome_m / region,region,rare:lo=0:hi=32,rare,-0.010424292787416729,0.0038854612882152557,136,0.5661764705882353,True,1:1,q2
visual_genome_m / region,region,rare:lo=0:hi=4,rare,0.012044424550022763,0.0048442632813698655,136,0.33088235294117646,True,1:1,q2
visual_genome_m / region,region,rare:lo=0:hi=64,rare,-0.014789425298438645,0.003316355562239767,136,0.6176470588235294,True,1:1,q2
visual_genome_m / region,region,rare:lo=0:hi=8,rare,0.0041966577934807875,0.00459571976972254,136,0.38235294117647056,False,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=16,rare,-0.009555086282669685,0.004263002568297163,136,0.5735294117647058,True,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=16:cap=0.5,rare,-0.015405634693525428,0.0037073491662428086,136,0.6323529411764706,True,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=16:cap=0.8,rare,-0.012096796303202047,0.0039962017198562115,136,0.6102941176470589,True,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=32,rare,-0.013211436836789936,0.003794371726201561,136,0.6470588235294118,True,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=32:cap=0.5,rare,-0.01579719018637792,0.003496271780829099,136,0.6617647058823529,True,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=32:cap=0.8,rare,-0.014205700933689572,0.0036558152706884723,136,0.6470588235294118,True,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=4,rare,0.005031340857721033,0.004840150481263846,136,0.38235294117647056,False,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=4:cap=0.5,rare,-0.0122736495873398,0.003907874575754167,136,0.5808823529411765,True,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=64,rare,-0.01566719521704701,0.003268673197342952,136,0.6470588235294118,True,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=8,rare,-0.0028737712207462887,0.004593318961205507,136,0.4485294117647059,False,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=8:cap=0.5,rare,-0.013954220595779361,0.0038319142918617206,136,0.6176470588235294,True,1:1,q2
visual_genome_m / region,region,rare:lo=1:hi=8:cap=0.8,rare,-0.007973537835118075,0.004233833451616681,136,0.5441176470588235,False,1:1,q2
visual_genome_m / region,region,rare:lo=2:hi=16,rare,-0.009824794424873832,0.004199173748407213,136,0.5882352941176471,True,1:1,q2
visual_genome_m / region,region,rare:lo=2:hi=32,rare,-0.012999610693248233,0.0037479629594752706,136,0.6470588235294118,True,1:1,q2
visual_genome_m / region,region,rare:lo=2:hi=4,rare,0.003592724409895373,0.004793855279835498,136,0.38235294117647056,False,1:1,q2
visual_genome_m / region,region,rare:lo=2:hi=64,rare,-0.015548874675464106,0.003240741264466609,136,0.6323529411764706,True,1:1,q2
visual_genome_m / region,region,rare:lo=2:hi=8,rare,-0.003535736890612991,0.004548091101771073,136,0.47058823529411764,False,1:1,q2
visual_genome_m / region,region,rare:lo=4:hi=16,rare,-0.0095441189930628,0.00409584032095849,136,0.6102941176470589,True,1:1,q2
visual_genome_m / region,region,rare:lo=4:hi=32,rare,-0.012411373432620958,0.0036712437112146144,136,0.625,True,1:1,q2
visual_genome_m / region,region,rare:lo=4:hi=64,rare,-0.01518621169238988,0.0032054942730756755,136,0.6176470588235294,True,1:1,q2
