arm,env,inclusion_k,n_cells,n_steps,d_regret,ci_lo,ci_hi,win_rate,d_regret_cost
fold_anchored_w0.3_rate_qmean,coco_val/siglip/whole_image,-4,74,14767,-0.00039075140886927475,-0.0034576698699065427,0.0026108503432722596,0.4615019976975689,-0.006252020597457886
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/siglip/whole_image,-4,74,14767,0.00923304765003834,0.0025632790651552322,0.01565240878758108,0.262070833615494,0.14772877097129822
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/siglip/whole_image,-4,74,14767,0.012468791193158895,0.007482560701287552,0.017399749913071184,0.26105505519062777,0.1995006501674652
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/siglip/whole_image,-4,74,14767,0.025252464770912066,0.02097210519155802,0.029659325777784278,0.1227060337238437,0.4040394425392151
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/siglip/whole_image,-4,74,14767,0.0436676814935856,0.03650385382945289,0.05176581203781392,0.09392564501929979,0.698682963848114
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/siglip/whole_image,-4,74,14767,0.05402064707123901,0.04514139315386372,0.06334295217848439,0.10699532741924561,0.8643303513526917
fold_anchored_w0.3_mid_qmean,coco_val/siglip/whole_image,-4,74,14767,0.05739908155354331,0.045974571408559976,0.06941619538782695,0.20423918195977517,0.91838538646698
fold_anchored_w0.3_cross_tilt_qmean,coco_val/siglip/whole_image,-3,74,14767,-0.02049621053678542,-0.02410042358959357,-0.016579517897721295,0.7721947585833276,-0.16396969556808472
fold_anchored_w0.3_rate_qmean,coco_val/siglip/whole_image,-3,74,14767,-0.00709031210509066,-0.011690350588941256,-0.0028247733270168173,0.5139161644206677,-0.056722491979599
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/siglip/whole_image,-3,74,14767,0.03625754723120858,0.02817562429302819,0.04425043997748493,0.2941694318412677,0.2900603711605072
fold_anchored_w0.3_mid_qmean,coco_val/siglip/whole_image,-3,74,14767,0.038827911643091136,0.027402568368297825,0.05084303692575132,0.253673731969933,0.31062328815460205
