window,env,arm,metric,mean,se,n,n_clusters,frac_ref_better
t10,coco_val/siglip2_l,linconv,f1,0.010849705263157894,0.012277383642470965,95,19,0.29473684210526313
t10,coco_val/siglip2_l,linconv,fnr,0.01598377894736842,0.006824740753466183,95,19,0.4105263157894737
t10,coco_val/siglip2_l,linconv,fpr,-0.039281263157894736,0.008050792081333016,95,19,0.28421052631578947
t10,coco_val/siglip2_l,linconv,n_good,-0.12631578947368421,0.10169387190308378,95,19,0.17894736842105263
t10,coco_val/siglip2_l,svmc01,cost,0.008604705263157889,0.009808823659492006,95,19,0.5789473684210527
t10,coco_val/siglip2_l,svmc01,oracle_cost,0.001236115789473686,0.006836463085121276,95,19,0.5368421052631579
t10,coco_val/siglip2_l,svmc01,regret,0.007368536842105262,0.008219206698192634,95,19,0.631578947368421
t10,coco_val/siglip2_l,svmc01,average_precision,-0.0006861052631578984,0.0077782168486064856,95,19,0.5157894736842106
t10,coco_val/siglip2_l,svmc01,auroc,-0.000905842105263159,0.0024182349116842754,95,19,0.5263157894736842
t10,coco_val/siglip2_l,svmc01,f1,-0.012093989473684211,0.013456658252412301,95,19,0.5789473684210527
t10,coco_val/siglip2_l,svmc01,fnr,-0.0058696,0.0038892738978973307,95,19,0.23157894736842105
t10,coco_val/siglip2_l,svmc01,fpr,0.014474263157894737,0.009429776937698427,95,19,0.631578947368421
t10,coco_val/siglip2_l,svmc01,n_good,0.010526315789473684,0.05180639670257333,95,19,0.14736842105263157
t10,coco_val/siglip2_l,svmc10,cost,0.0038474736842105234,0.011288139105342815,95,19,0.4631578947368421
t10,coco_val/siglip2_l,svmc10,oracle_cost,0.00880966315789474,0.008500779692001324,95,19,0.47368421052631576
t10,coco_val/siglip2_l,svmc10,regret,-0.004962073684210527,0.008516372515828163,95,19,0.43157894736842106
t10,coco_val/siglip2_l,svmc10,average_precision,-0.001065863157894736,0.007939055641868916,95,19,0.47368421052631576
t10,coco_val/siglip2_l,svmc10,auroc,-0.006156684210526318,0.0031486510611481197,95,19,0.5263157894736842
t10,coco_val/siglip2_l,svmc10,f1,0.008778326315789474,0.010469824206293653,95,19,0.4421052631578947
t10,coco_val/siglip2_l,svmc10,fnr,0.014613526315789474,0.005764694759643576,95,19,0.3894736842105263
t10,coco_val/siglip2_l,svmc10,fpr,-0.010766063157894738,0.00927948271836745,95,19,0.45263157894736844
