window,scope,arm,ref,isolates,metric,ref_mean,arm_mean,mean,se,n,n_clusters,frac_arm_better,frac_tied
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_xcal,fold-anchored vs plain x-cal (GP head),oracle_cost,0.24278365201465202,0.22460886813186812,-0.01817478388278388,0.005860539798016853,273,138,0.5091575091575091,0.0695970695970696
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_xcal,fold-anchored vs plain x-cal (GP head),regret,0.4424361721611722,0.10490241758241758,-0.33753375457875456,0.02283638549383288,273,138,0.7655677655677655,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_xcal,fold-anchored vs plain x-cal (GP head),average_precision,0.498646391941392,0.4978966263736263,-0.0007497655677655675,0.005206195888396168,273,138,0.42857142857142855,0.06593406593406594
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_xcal,fold-anchored vs plain x-cal (GP head),auroc,0.9028533003663003,0.9153421428571428,0.01248884249084249,0.004039860716649369,273,138,0.5238095238095238,0.06593406593406594
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_xcal,fold-anchored vs plain x-cal (GP head),f1,0.05071401098901099,0.061435747252747246,0.010721736263736265,0.007304066831263632,273,138,0.7362637362637363,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_xcal,fold-anchored vs plain x-cal (GP head),fnr,0.09386772893772895,0.08935346886446888,-0.004514260073260072,0.01413906476550372,273,138,0.21611721611721613,0.34798534798534797
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_xcal,fold-anchored vs plain x-cal (GP head),fpr,0.5913520952380952,0.2401577838827839,-0.3511943113553114,0.02844284634138798,273,138,0.706959706959707,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_xcal,fold-anchored vs plain x-cal (GP head),n_good,5.058608058608058,9.179487179487179,4.1208791208791204,0.5412944063507255,273,138,0.608058608058608,0.22344322344322345
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_gmm,fold-anchored vs GMM midpoint (GP head),cost,0.36409994139194135,0.3295112344322344,-0.03458870695970696,0.008043325924109269,273,138,0.5934065934065934,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_gmm,fold-anchored vs GMM midpoint (GP head),oracle_cost,0.2303878315018315,0.22460886813186812,-0.0057789633699633705,0.003759262108003812,273,138,0.5641025641025641,0.06593406593406594
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_gmm,fold-anchored vs GMM midpoint (GP head),regret,0.13371206227106225,0.10490241758241758,-0.02880964468864469,0.007368618283515999,273,138,0.5641025641025641,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_gmm,fold-anchored vs GMM midpoint (GP head),average_precision,0.45657863003663,0.4978966263736263,0.04131799633699634,0.005376738398114283,273,138,0.7106227106227107,0.06593406593406594
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_gmm,fold-anchored vs GMM midpoint (GP head),auroc,0.9144422380952382,0.9153421428571428,0.0008999047619047638,0.0015439922645450732,273,138,0.5860805860805861,0.06593406593406594
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_gmm,fold-anchored vs GMM midpoint (GP head),f1,0.04958551648351649,0.061435747252747246,0.01185023076923077,0.0065115572724638755,273,138,0.5897435897435898,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_gmm,fold-anchored vs GMM midpoint (GP head),fnr,0.09088323443223444,0.08935346886446888,-0.0015297655677655674,0.005004734223730507,273,138,0.2673992673992674,0.4175824175824176
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_gmm,fold-anchored vs GMM midpoint (GP head),fpr,0.2732166923076923,0.2401577838827839,-0.033058908424908426,0.008578575620825075,273,138,0.5787545787545788,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_gmm,fold-anchored vs GMM midpoint (GP head),n_good,3.6996336996337,9.179487179487179,5.47985347985348,0.6008792874968277,273,138,0.6886446886446886,0.2600732600732601
t50,coco_better/siglip2_l,gp_dot_anch,gp_rbf_anch,dot-product vs RBF kernel,cost,0.3295112344322344,0.3650034139194139,0.03549217948717948,0.005265995741873519,273,138,0.3516483516483517,0.014652014652014652
